sport;year;state;gp;bp;gr;br;Row ;Column
Dance Team, Jazz;2018/2019;CA;0;0;0;0;5;2
Track and Field -- Indoor;2018/2019;CA;0;0;0;0;5;2
Volleyball;2018/2019;CO;11672;0;0,188775675;0;4;3,5
Basketball;2018/2019;CO;9045;11723;0,14628821;0,154347483;4;3,5
Track and Field -- Outdoor;2018/2019;CO;7621;10243;0,123257318;0,134861491;4;3,5
Soccer;2018/2019;CO;6829;8241;0,110448003;0,108502739;4;3,5
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;CO;4825;181;0,078036552;0,002383084;4;3,5
Swimming & Diving;2018/2019;CO;4600;1722;0,074397542;0,022672214;4;3,5
Softball -- Fast Pitch;2018/2019;CO;4164;0;0,067345949;0;4;3,5
Tennis;2018/2019;CO;4053;3083;0,065550704;0,040591426;4;3,5
Cross Country;2018/2019;CO;4001;4122;0,064709688;0,054271119;4;3,5
Golf;2018/2019;CO;1541;2167;0,024923176;0,028531178;4;3,5
Lacrosse;2018/2019;CO;1534;3179;0,024809963;0,041855382;4;3,5
Field Hockey;2018/2019;CO;636;0;0,010286269;0;4;3,5
Gymnastics;2018/2019;CO;532;0;0,008604237;0;4;3,5
Baseball;2018/2019;CO;183;7825;0,002959728;0,103025595;4;3,5
Skiing -- Alpine;2018/2019;CO;171;135;0,002765648;0,001777438;4;3,5
Football -- 11-Player;2018/2019;CO;141;15593;0,002280446;0,205300716;4;3,5
Wrestling;2018/2019;CO;140;5290;0,002264273;0,069649252;4;3,5
Skiing -- Cross Country;2018/2019;CO;103;112;0,001665858;0,001474616;4;3,5
Ice Hockey;2018/2019;CO;22;1042;0,000355814;0,013719191;4;3,5
Football -- 6-player;2018/2019;CO;9;543;0,00014556;0,007149252;4;3,5
Football -- 8-player;2018/2019;CO;8;751;0,000129387;0,009887824;4;3,5
Figure Skating;2018/2019;CO;0;0;0;0;4;3,5
Trap Shooting;2018/2019;CO;0;0;0;0;4;3,5
Football -- 9-player;2018/2019;CO;0;0;0;0;4;3,5
Adaptive Golf;2018/2019;CO;0;0;0;0;4;3,5
Equestrian;2018/2019;CO;0;0;0;0;4;3,5
Adaptive Handball;2018/2019;CO;0;0;0;0;4;3,5
Judo;2018/2019;CO;0;0;0;0;4;3,5
Bass Fishing;2018/2019;CO;0;0;0;0;4;3,5
Ultimate Frisbee;2018/2019;CO;0;0;0;0;4;3,5
Riflery;2018/2019;CO;0;0;0;0;4;3,5
Water Polo;2018/2019;CO;0;0;0;0;4;3,5
Crew;2018/2019;CO;0;0;0;0;4;3,5
Rugby;2018/2019;CO;0;0;0;0;4;3,5
Native Youth Olympics;2018/2019;CO;0;0;0;0;4;3,5
Rock Climbing;2018/2019;CO;0;0;0;0;4;3,5
Beach Volleyball;2018/2019;CO;0;0;0;0;4;3,5
Mixed 6-Coed Volleyball;2018/2019;CO;0;0;0;0;4;3,5
Adapted Basketball;2018/2019;CO;0;0;0;0;4;3,5
Softball -- Slow Pitch;2018/2019;CO;0;0;0;0;4;3,5
Adapted Soccer;2018/2019;CO;0;0;0;0;4;3,5
Squash;2018/2019;CO;0;0;0;0;4;3,5
Rodeo;2018/2019;CO;0;0;0;0;4;3,5
Canoe Paddling;2018/2019;CO;0;0;0;0;4;3,5
Mt. Biking;2018/2019;CO;0;0;0;0;4;3,5
Heptathlon;2018/2019;CO;0;0;0;0;4;3,5
Dance Team, High Kick;2018/2019;CO;0;0;0;0;4;3,5
Martial Arts;2018/2019;CO;0;0;0;0;4;3,5
Flag Football;2018/2019;CO;0;0;0;0;4;3,5
Dance;2018/2019;CO;0;0;0;0;4;3,5
Fencing;2018/2019;CO;0;0;0;0;4;3,5
Adapted Softball;2018/2019;CO;0;0;0;0;4;3,5
Dance Team, Jazz;2018/2019;CO;0;0;0;0;4;3,5
Adapted Bowling;2018/2019;CO;0;0;0;0;4;3,5
Archery;2018/2019;CO;0;0;0;0;4;3,5
Kayaking;2018/2019;CO;0;0;0;0;4;3,5
Adaptive Strength Training;2018/2019;CO;0;0;0;0;4;3,5
Adaptive Corn Toss;2018/2019;CO;0;0;0;0;4;3,5
Bowling;2018/2019;CO;0;0;0;0;4;3,5
Air Riflery;2018/2019;CO;0;0;0;0;4;3,5
Adapted Track;2018/2019;CO;0;0;0;0;4;3,5
Adapted Volleyball;2018/2019;CO;0;0;0;0;4;3,5
Unified Track and Field -- Outdoor;2018/2019;CO;0;0;0;0;4;3,5
Sand Volleyball;2018/2019;CO;0;0;0;0;4;3,5
Adapted Floor Hockey;2018/2019;CO;0;0;0;0;4;3,5
Weight Lifting;2018/2019;CO;0;0;0;0;4;3,5
Dance/Drill;2018/2019;CO;0;0;0;0;4;3,5
Bocce - Outdoor;2018/2019;CO;0;0;0;0;4;3,5
Adapted Football;2018/2019;CO;0;0;0;0;4;3,5
Adaptive Tennis;2018/2019;CO;0;0;0;0;4;3,5
Unified Flag Football;2018/2019;CO;0;0;0;0;4;3,5
Badminton;2018/2019;CO;0;0;0;0;4;3,5
Surfing;2018/2019;CO;0;0;0;0;4;3,5
Sailing;2018/2019;CO;0;0;0;0;4;3,5
Team Tennis;2018/2019;CO;0;0;0;0;4;3,5
Snowboarding;2018/2019;CO;0;0;0;0;4;3,5
Soft Tennis;2018/2019;CO;0;0;0;0;4;3,5
Decathlon;2018/2019;CO;0;0;0;0;4;3,5
Adapted Bocce - Indoor;2018/2019;CO;0;0;0;0;4;3,5
Cycling;2018/2019;CO;0;0;0;0;4;3,5
Rythmic Gymnastics;2018/2019;CO;0;0;0;0;4;3,5
Drill Team;2018/2019;CO;0;0;0;0;4;3,5
Synchronized Swimming;2018/2019;CO;0;0;0;0;4;3,5
Roller Hockey;2018/2019;CO;0;0;0;0;4;3,5
Track and Field -- Indoor;2018/2019;CO;0;0;0;0;4;3,5
Unified Basketball;2018/2019;CO;0;0;0;0;4;3,5
Track and Field -- Outdoor;2018/2019;CT;6630;7749;0,133769142;0,132181359;3;11
Soccer;2018/2019;CT;5661;7030;0,114218268;0,119916758;3;11
Volleyball;2018/2019;CT;4968;929;0,100236063;0,015846752;3;11
Track and Field -- Indoor;2018/2019;CT;4628;5095;0,093376107;0,086909798;3;11
Lacrosse;2018/2019;CT;3904;4035;0,078768436;0,068828466;3;11
Softball -- Fast Pitch;2018/2019;CT;3897;0;0,078627202;0;3;11
Basketball;2018/2019;CT;3718;5349;0,075015637;0,091242495;3;11
Tennis;2018/2019;CT;3316;2312;0,066904747;0,039437773;3;11
Field Hockey;2018/2019;CT;3211;0;0,064786232;0;3;11
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;CT;2902;168;0,058551742;0,002865721;3;11
Cross Country;2018/2019;CT;2731;4038;0,055101588;0,06887964;3;11
Swimming & Diving;2018/2019;CT;2615;1872;0,052761132;0,031932314;3;11
Golf;2018/2019;CT;713;1589;0,014385731;0,02710494;3;11
Gymnastics;2018/2019;CT;458;0;0,009240764;0;3;11
Wrestling;2018/2019;CT;131;2307;0,002643101;0,039352484;3;11
Football -- 11-Player;2018/2019;CT;42;9017;0,000847406;0,153810726;3;11
Ice Hockey;2018/2019;CT;21;1471;0,000423703;0,025092112;3;11
Baseball;2018/2019;CT;17;5663;0,000342998;0,096598663;3;11
Cycling;2018/2019;CT;0;0;0;0;3;11
Mt. Biking;2018/2019;CT;0;0;0;0;3;11
Canoe Paddling;2018/2019;CT;0;0;0;0;3;11
Sand Volleyball;2018/2019;CT;0;0;0;0;3;11
Adapted Football;2018/2019;CT;0;0;0;0;3;11
Team Tennis;2018/2019;CT;0;0;0;0;3;11
Adapted Bowling;2018/2019;CT;0;0;0;0;3;11
Figure Skating;2018/2019;CT;0;0;0;0;3;11
Ultimate Frisbee;2018/2019;CT;0;0;0;0;3;11
Adapted Bocce - Indoor;2018/2019;CT;0;0;0;0;3;11
Trap Shooting;2018/2019;CT;0;0;0;0;3;11
Adaptive Corn Toss;2018/2019;CT;0;0;0;0;3;11
Dance;2018/2019;CT;0;0;0;0;3;11
Adapted Softball;2018/2019;CT;0;0;0;0;3;11
Adaptive Strength Training;2018/2019;CT;0;0;0;0;3;11
Adaptive Tennis;2018/2019;CT;0;0;0;0;3;11
Drill Team;2018/2019;CT;0;0;0;0;3;11
Crew;2018/2019;CT;0;0;0;0;3;11
Soft Tennis;2018/2019;CT;0;0;0;0;3;11
Archery;2018/2019;CT;0;0;0;0;3;11
Adapted Floor Hockey;2018/2019;CT;0;0;0;0;3;11
Adapted Basketball;2018/2019;CT;0;0;0;0;3;11
Skiing -- Cross Country;2018/2019;CT;0;0;0;0;3;11
Air Riflery;2018/2019;CT;0;0;0;0;3;11
Judo;2018/2019;CT;0;0;0;0;3;11
Surfing;2018/2019;CT;0;0;0;0;3;11
Flag Football;2018/2019;CT;0;0;0;0;3;11
Rock Climbing;2018/2019;CT;0;0;0;0;3;11
Water Polo;2018/2019;CT;0;0;0;0;3;11
Decathlon;2018/2019;CT;0;0;0;0;3;11
Unified Track and Field -- Outdoor;2018/2019;CT;0;0;0;0;3;11
Football -- 8-player;2018/2019;CT;0;0;0;0;3;11
Fencing;2018/2019;CT;0;0;0;0;3;11
Synchronized Swimming;2018/2019;CT;0;0;0;0;3;11
Rodeo;2018/2019;CT;0;0;0;0;3;11
Football -- 6-player;2018/2019;CT;0;0;0;0;3;11
Rythmic Gymnastics;2018/2019;CT;0;0;0;0;3;11
Roller Hockey;2018/2019;CT;0;0;0;0;3;11
Bocce - Outdoor;2018/2019;CT;0;0;0;0;3;11
Kayaking;2018/2019;CT;0;0;0;0;3;11
Rugby;2018/2019;CT;0;0;0;0;3;11
Heptathlon;2018/2019;CT;0;0;0;0;3;11
Equestrian;2018/2019;CT;0;0;0;0;3;11
Adaptive Handball;2018/2019;CT;0;0;0;0;3;11
Weight Lifting;2018/2019;CT;0;0;0;0;3;11
Unified Flag Football;2018/2019;CT;0;0;0;0;3;11
Unified Basketball;2018/2019;CT;0;0;0;0;3;11
Squash;2018/2019;CT;0;0;0;0;3;11
Snowboarding;2018/2019;CT;0;0;0;0;3;11
Football -- 9-player;2018/2019;CT;0;0;0;0;3;11
Sailing;2018/2019;CT;0;0;0;0;3;11
Native Youth Olympics;2018/2019;CT;0;0;0;0;3;11
Mixed 6-Coed Volleyball;2018/2019;CT;0;0;0;0;3;11
Martial Arts;2018/2019;CT;0;0;0;0;3;11
Dance Team, High Kick;2018/2019;CT;0;0;0;0;3;11
Badminton;2018/2019;CT;0;0;0;0;3;11
Adapted Track;2018/2019;CT;0;0;0;0;3;11
Adapted Volleyball;2018/2019;CT;0;0;0;0;3;11
Adaptive Golf;2018/2019;CT;0;0;0;0;3;11
Beach Volleyball;2018/2019;CT;0;0;0;0;3;11
Bowling;2018/2019;CT;0;0;0;0;3;11
Dance/Drill;2018/2019;CT;0;0;0;0;3;11
Riflery;2018/2019;CT;0;0;0;0;3;11
Skiing -- Alpine;2018/2019;CT;0;0;0;0;3;11
Softball -- Slow Pitch;2018/2019;CT;0;0;0;0;3;11
Dance Team, Jazz;2018/2019;CT;0;0;0;0;3;11
Adapted Soccer;2018/2019;CT;0;0;0;0;3;11
Bass Fishing;2018/2019;CT;0;0;0;0;3;11
Soccer;2018/2019;DC;700;910;0,114980289;0,10715968;5;12
Volleyball;2018/2019;DC;676;0;0,111038108;0;5;12
Basketball;2018/2019;DC;666;1164;0,109395532;0,137070184;5;12
Track and Field -- Outdoor;2018/2019;DC;516;708;0,084756899;0,083372586;5;12
Cross Country;2018/2019;DC;438;505;0,071944809;0,059467734;5;12
Track and Field -- Indoor;2018/2019;DC;392;489;0,064388962;0,057583608;5;12
Softball -- Fast Pitch;2018/2019;DC;349;0;0,057325887;0;5;12
Crew;2018/2019;DC;320;234;0,052562418;0,027555346;5;12
Lacrosse;2018/2019;DC;301;429;0,049441524;0,050518135;5;12
Swimming & Diving;2018/2019;DC;267;269;0,043856767;0,031676872;5;12
Field Hockey;2018/2019;DC;255;0;0,041885677;0;5;12
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;DC;229;0;0,03761498;0;5;12
Flag Football;2018/2019;DC;221;16;0,03630092;0,001884126;5;12
Ultimate Frisbee;2018/2019;DC;185;256;0,030387648;0,03014602;5;12
Tennis;2018/2019;DC;170;250;0,027923784;0,029439472;5;12
Ice Hockey;2018/2019;DC;89;142;0,014618922;0,01672162;5;12
Bowling;2018/2019;DC;75;9;0,012319317;0,001059821;5;12
Squash;2018/2019;DC;45;33;0,00739159;0,00388601;5;12
Snowboarding;2018/2019;DC;43;133;0,007063075;0,015661799;5;12
Golf;2018/2019;DC;35;133;0,005749014;0,015661799;5;12
Skiing -- Cross Country;2018/2019;DC;27;30;0,004434954;0,003532737;5;12
Rock Climbing;2018/2019;DC;24;42;0,003942181;0,004945831;5;12
Cycling;2018/2019;DC;17;7;0,002792378;0,000824305;5;12
Equestrian;2018/2019;DC;14;0;0,002299606;0;5;12
Dance;2018/2019;DC;13;0;0,002135348;0;5;12
Wrestling;2018/2019;DC;7;183;0,001149803;0,021549694;5;12
Canoe Paddling;2018/2019;DC;6;0;0,000985545;0;5;12
Martial Arts;2018/2019;DC;4;4;0,00065703;0,000471032;5;12
Archery;2018/2019;DC;4;10;0,00065703;0,001177579;5;12
Adaptive Tennis;2018/2019;DC;0;0;0;0;5;12
Rodeo;2018/2019;DC;0;0;0;0;5;12
Air Riflery;2018/2019;DC;0;0;0;0;5;12
Rythmic Gymnastics;2018/2019;DC;0;0;0;0;5;12
Football -- 9-player;2018/2019;DC;0;0;0;0;5;12
Adaptive Golf;2018/2019;DC;0;0;0;0;5;12
Kayaking;2018/2019;DC;0;0;0;0;5;12
Unified Track and Field -- Outdoor;2018/2019;DC;0;0;0;0;5;12
Rugby;2018/2019;DC;0;250;0;0,029439472;5;12
Water Polo;2018/2019;DC;0;0;0;0;5;12
Team Tennis;2018/2019;DC;0;0;0;0;5;12
Heptathlon;2018/2019;DC;0;0;0;0;5;12
Bocce - Outdoor;2018/2019;DC;0;0;0;0;5;12
Figure Skating;2018/2019;DC;0;0;0;0;5;12
Adaptive Strength Training;2018/2019;DC;0;0;0;0;5;12
Baseball;2018/2019;DC;0;753;0;0,088671691;5;12
Synchronized Swimming;2018/2019;DC;0;0;0;0;5;12
Adapted Track;2018/2019;DC;0;0;0;0;5;12
Beach Volleyball;2018/2019;DC;0;0;0;0;5;12
Sand Volleyball;2018/2019;DC;0;0;0;0;5;12
Dance Team, High Kick;2018/2019;DC;0;0;0;0;5;12
Riflery;2018/2019;DC;0;0;0;0;5;12
Judo;2018/2019;DC;0;0;0;0;5;12
Dance/Drill;2018/2019;DC;0;0;0;0;5;12
Football -- 11-Player;2018/2019;DC;0;1456;0;0,171455488;5;12
Mt. Biking;2018/2019;DC;0;0;0;0;5;12
Adapted Bowling;2018/2019;DC;0;0;0;0;5;12
Trap Shooting;2018/2019;DC;0;0;0;0;5;12
Skiing -- Alpine;2018/2019;DC;0;0;0;0;5;12
Drill Team;2018/2019;DC;0;0;0;0;5;12
Adapted Volleyball;2018/2019;DC;0;0;0;0;5;12
Adapted Basketball;2018/2019;DC;0;0;0;0;5;12
Gymnastics;2018/2019;DC;0;0;0;0;5;12
Unified Basketball;2018/2019;DC;0;0;0;0;5;12
Sailing;2018/2019;DC;0;0;0;0;5;12
Unified Flag Football;2018/2019;DC;0;0;0;0;5;12
Fencing;2018/2019;DC;0;25;0;0,002943947;5;12
Surfing;2018/2019;DC;0;0;0;0;5;12
Decathlon;2018/2019;DC;0;0;0;0;5;12
Dance Team, Jazz;2018/2019;DC;0;0;0;0;5;12
Adaptive Corn Toss;2018/2019;DC;0;0;0;0;5;12
Adapted Soccer;2018/2019;DC;0;0;0;0;5;12
Adapted Bocce - Indoor;2018/2019;DC;0;0;0;0;5;12
Roller Hockey;2018/2019;DC;0;0;0;0;5;12
Mixed 6-Coed Volleyball;2018/2019;DC;0;0;0;0;5;12
Adapted Softball;2018/2019;DC;0;0;0;0;5;12
Badminton;2018/2019;DC;0;0;0;0;5;12
Native Youth Olympics;2018/2019;DC;0;0;0;0;5;12
Weight Lifting;2018/2019;DC;0;40;0;0,004710316;5;12
Football -- 8-player;2018/2019;DC;0;12;0;0,001413095;5;12
Adaptive Handball;2018/2019;DC;0;0;0;0;5;12
Adapted Floor Hockey;2018/2019;DC;0;0;0;0;5;12
Soft Tennis;2018/2019;DC;0;0;0;0;5;12
Softball -- Slow Pitch;2018/2019;DC;0;0;0;0;5;12
Adapted Football;2018/2019;DC;0;0;0;0;5;12
Bass Fishing;2018/2019;DC;0;0;0;0;5;12
Football -- 6-player;2018/2019;DC;0;0;0;0;5;12
Soccer;2018/2019;DE;1526;2062;0,126126126;0,129036295;4;9,5
Volleyball;2018/2019;DE;1526;184;0,126126126;0,011514393;4;9,5
Field Hockey;2018/2019;DE;1483;0;0,122572113;0;4;9,5
Track and Field -- Outdoor;2018/2019;DE;1110;1399;0,091743119;0,087546934;4;9,5
Basketball;2018/2019;DE;1058;1604;0,087445243;0,100375469;4;9,5
Softball -- Fast Pitch;2018/2019;DE;1022;0;0,084469791;0;4;9,5
Lacrosse;2018/2019;DE;981;1545;0,081081081;0,096683354;4;9,5
Track and Field -- Indoor;2018/2019;DE;843;892;0,06967518;0,055819775;4;9,5
Cross Country;2018/2019;DE;775;1060;0,064054881;0,066332916;4;9,5
Swimming & Diving;2018/2019;DE;736;670;0,060831474;0,041927409;4;9,5
Tennis;2018/2019;DE;552;485;0,045623605;0,030350438;4;9,5
Golf;2018/2019;DE;161;334;0,013306885;0,020901126;4;9,5
Crew;2018/2019;DE;137;92;0,01132325;0,005757196;4;9,5
Unified Track and Field -- Outdoor;2018/2019;DE;51;56;0,004215224;0,00350438;4;9,5
Unified Basketball;2018/2019;DE;47;100;0,003884619;0,006257822;4;9,5
Unified Flag Football;2018/2019;DE;37;111;0,003058104;0,006946183;4;9,5
Squash;2018/2019;DE;28;42;0,002314241;0,002628285;4;9,5
Wrestling;2018/2019;DE;11;872;0,000909166;0,05456821;4;9,5
Football -- 11-Player;2018/2019;DE;8;2843;0,000661212;0,177909887;4;9,5
Sailing;2018/2019;DE;3;8;0,000247954;0,000500626;4;9,5
Ice Hockey;2018/2019;DE;2;116;0,000165303;0,007259074;4;9,5
Bowling;2018/2019;DE;2;9;0,000165303;0,000563204;4;9,5
Adapted Football;2018/2019;DE;0;0;0;0;4;9,5
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;DE;0;0;0;0;4;9,5
Adapted Volleyball;2018/2019;DE;0;0;0;0;4;9,5
Dance;2018/2019;DE;0;0;0;0;4;9,5
Adaptive Golf;2018/2019;DE;0;0;0;0;4;9,5
Rock Climbing;2018/2019;DE;0;0;0;0;4;9,5
Judo;2018/2019;DE;0;0;0;0;4;9,5
Team Tennis;2018/2019;DE;0;0;0;0;4;9,5
Snowboarding;2018/2019;DE;0;0;0;0;4;9,5
Trap Shooting;2018/2019;DE;0;0;0;0;4;9,5
Baseball;2018/2019;DE;0;1411;0;0,088297872;4;9,5
Archery;2018/2019;DE;0;0;0;0;4;9,5
Drill Team;2018/2019;DE;0;0;0;0;4;9,5
Rugby;2018/2019;DE;0;85;0;0,005319149;4;9,5
Weight Lifting;2018/2019;DE;0;0;0;0;4;9,5
Martial Arts;2018/2019;DE;0;0;0;0;4;9,5
Football -- 9-player;2018/2019;DE;0;0;0;0;4;9,5
Heptathlon;2018/2019;DE;0;0;0;0;4;9,5
Skiing -- Alpine;2018/2019;DE;0;0;0;0;4;9,5
Decathlon;2018/2019;DE;0;0;0;0;4;9,5
Football -- 6-player;2018/2019;DE;0;0;0;0;4;9,5
Gymnastics;2018/2019;DE;0;0;0;0;4;9,5
Adapted Soccer;2018/2019;DE;0;0;0;0;4;9,5
Adapted Bowling;2018/2019;DE;0;0;0;0;4;9,5
Ultimate Frisbee;2018/2019;DE;0;0;0;0;4;9,5
Canoe Paddling;2018/2019;DE;0;0;0;0;4;9,5
Flag Football;2018/2019;DE;0;0;0;0;4;9,5
Adapted Bocce - Indoor;2018/2019;DE;0;0;0;0;4;9,5
Water Polo;2018/2019;DE;0;0;0;0;4;9,5
Beach Volleyball;2018/2019;DE;0;0;0;0;4;9,5
Adapted Basketball;2018/2019;DE;0;0;0;0;4;9,5
Sand Volleyball;2018/2019;DE;0;0;0;0;4;9,5
Air Riflery;2018/2019;DE;0;0;0;0;4;9,5
Badminton;2018/2019;DE;0;0;0;0;4;9,5
Native Youth Olympics;2018/2019;DE;0;0;0;0;4;9,5
Bocce - Outdoor;2018/2019;DE;0;0;0;0;4;9,5
Equestrian;2018/2019;DE;0;0;0;0;4;9,5
Adaptive Strength Training;2018/2019;DE;0;0;0;0;4;9,5
Dance Team, High Kick;2018/2019;DE;0;0;0;0;4;9,5
Mixed 6-Coed Volleyball;2018/2019;DE;0;0;0;0;4;9,5
Synchronized Swimming;2018/2019;DE;0;0;0;0;4;9,5
Bass Fishing;2018/2019;DE;0;0;0;0;4;9,5
Football -- 8-player;2018/2019;DE;0;0;0;0;4;9,5
Dance/Drill;2018/2019;DE;0;0;0;0;4;9,5
Dance Team, Jazz;2018/2019;DE;0;0;0;0;4;9,5
Cycling;2018/2019;DE;0;0;0;0;4;9,5
Mt. Biking;2018/2019;DE;0;0;0;0;4;9,5
Adaptive Corn Toss;2018/2019;DE;0;0;0;0;4;9,5
Riflery;2018/2019;DE;0;0;0;0;4;9,5
Roller Hockey;2018/2019;DE;0;0;0;0;4;9,5
Rythmic Gymnastics;2018/2019;DE;0;0;0;0;4;9,5
Skiing -- Cross Country;2018/2019;DE;0;0;0;0;4;9,5
Adaptive Tennis;2018/2019;DE;0;0;0;0;4;9,5
Adaptive Handball;2018/2019;DE;0;0;0;0;4;9,5
Adapted Softball;2018/2019;DE;0;0;0;0;4;9,5
Adapted Track;2018/2019;DE;0;0;0;0;4;9,5
Soft Tennis;2018/2019;DE;0;0;0;0;4;9,5
Fencing;2018/2019;DE;0;0;0;0;4;9,5
Surfing;2018/2019;DE;0;0;0;0;4;9,5
Kayaking;2018/2019;DE;0;0;0;0;4;9,5
Adapted Floor Hockey;2018/2019;DE;0;0;0;0;4;9,5
Softball -- Slow Pitch;2018/2019;DE;0;0;0;0;4;9,5
Rodeo;2018/2019;DE;0;0;0;0;4;9,5
Figure Skating;2018/2019;DE;0;0;0;0;4;9,5
Volleyball;2018/2019;FL;20047;2784;0,149028383;0,016031787;8;8,5
Soccer;2018/2019;FL;17595;19923;0,130800339;0,114727477;8;8,5
Track and Field -- Outdoor;2018/2019;FL;16804;18924;0,124920085;0,108974691;8;8,5
Basketball;2018/2019;FL;13388;21652;0,099525714;0,124684;8;8,5
Softball -- Fast Pitch;2018/2019;FL;12666;0;0,094158403;0;8;8,5
Swimming & Diving;2018/2019;FL;8603;7333;0,063954266;0,042227405;8;8,5
Flag Football;2018/2019;FL;7683;0;0,057115033;0;8;8,5
Cross Country;2018/2019;FL;7563;8709;0,056222959;0,050151162;8;8,5
Lacrosse;2018/2019;FL;6158;7477;0,04577826;0,043056635;8;8,5
Weight Lifting;2018/2019;FL;6155;5416;0,045755958;0,031188276;8;8,5
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;FL;5865;215;0,043600113;0,001238087;8;8,5
Tennis;2018/2019;FL;5703;5226;0,042395813;0,030094152;8;8,5
Golf;2018/2019;FL;2561;4188;0,019038344;0,024116783;8;8,5
Bowling;2018/2019;FL;1712;1547;0,012726921;0,008908468;8;8,5
Water Polo;2018/2019;FL;1307;1328;0,009716172;0,007647347;8;8,5
Wrestling;2018/2019;FL;475;7789;0,003531126;0,044853301;8;8,5
Baseball;2018/2019;FL;119;20763;0,00088464;0,119564654;8;8,5
Football -- 11-Player;2018/2019;FL;89;40361;0,000661621;0,232420604;8;8,5
Adapted Track;2018/2019;FL;25;20;0,000185849;0,000115171;8;8,5
Sailing;2018/2019;FL;0;0;0;0;8;8,5
Surfing;2018/2019;FL;0;0;0;0;8;8,5
Fencing;2018/2019;FL;0;0;0;0;8;8,5
Adaptive Golf;2018/2019;FL;0;0;0;0;8;8,5
Drill Team;2018/2019;FL;0;0;0;0;8;8,5
Team Tennis;2018/2019;FL;0;0;0;0;8;8,5
Beach Volleyball;2018/2019;FL;0;0;0;0;8;8,5
Adaptive Tennis;2018/2019;FL;0;0;0;0;8;8,5
Canoe Paddling;2018/2019;FL;0;0;0;0;8;8,5
Decathlon;2018/2019;FL;0;0;0;0;8;8,5
Crew;2018/2019;FL;0;0;0;0;8;8,5
Equestrian;2018/2019;FL;0;0;0;0;8;8,5
Badminton;2018/2019;FL;0;0;0;0;8;8,5
Rugby;2018/2019;FL;0;0;0;0;8;8,5
Snowboarding;2018/2019;FL;0;0;0;0;8;8,5
Football -- 8-player;2018/2019;FL;0;0;0;0;8;8,5
Unified Flag Football;2018/2019;FL;0;0;0;0;8;8,5
Ice Hockey;2018/2019;FL;0;0;0;0;8;8,5
Adapted Bowling;2018/2019;FL;0;0;0;0;8;8,5
Unified Track and Field -- Outdoor;2018/2019;FL;0;0;0;0;8;8,5
Rythmic Gymnastics;2018/2019;FL;0;0;0;0;8;8,5
Rodeo;2018/2019;FL;0;0;0;0;8;8,5
Gymnastics;2018/2019;FL;0;0;0;0;8;8,5
Skiing -- Cross Country;2018/2019;FL;0;0;0;0;8;8,5
Roller Hockey;2018/2019;FL;0;0;0;0;8;8,5
Dance Team, Jazz;2018/2019;FL;0;0;0;0;8;8,5
Soft Tennis;2018/2019;FL;0;0;0;0;8;8,5
Adapted Bocce - Indoor;2018/2019;FL;0;0;0;0;8;8,5
Skiing -- Alpine;2018/2019;FL;0;0;0;0;8;8,5
Adapted Basketball;2018/2019;FL;0;0;0;0;8;8,5
Sand Volleyball;2018/2019;FL;0;0;0;0;8;8,5
Squash;2018/2019;FL;0;0;0;0;8;8,5
Field Hockey;2018/2019;FL;0;0;0;0;8;8,5
Ultimate Frisbee;2018/2019;FL;0;0;0;0;8;8,5
Native Youth Olympics;2018/2019;FL;0;0;0;0;8;8,5
Mixed 6-Coed Volleyball;2018/2019;FL;0;0;0;0;8;8,5
Adaptive Handball;2018/2019;FL;0;0;0;0;8;8,5
Dance/Drill;2018/2019;FL;0;0;0;0;8;8,5
Adaptive Strength Training;2018/2019;FL;0;0;0;0;8;8,5
Adapted Softball;2018/2019;FL;0;0;0;0;8;8,5
Air Riflery;2018/2019;FL;0;0;0;0;8;8,5
Softball -- Slow Pitch;2018/2019;FL;0;0;0;0;8;8,5
Figure Skating;2018/2019;FL;0;0;0;0;8;8,5
Rock Climbing;2018/2019;FL;0;0;0;0;8;8,5
Football -- 9-player;2018/2019;FL;0;0;0;0;8;8,5
Adapted Floor Hockey;2018/2019;FL;0;0;0;0;8;8,5
Mt. Biking;2018/2019;FL;0;0;0;0;8;8,5
Adapted Volleyball;2018/2019;FL;0;0;0;0;8;8,5
Adapted Soccer;2018/2019;FL;0;0;0;0;8;8,5
Adaptive Corn Toss;2018/2019;FL;0;0;0;0;8;8,5
Bocce - Outdoor;2018/2019;FL;0;0;0;0;8;8,5
Heptathlon;2018/2019;FL;0;0;0;0;8;8,5
Dance;2018/2019;FL;0;0;0;0;8;8,5
Judo;2018/2019;FL;0;0;0;0;8;8,5
Dance Team, High Kick;2018/2019;FL;0;0;0;0;8;8,5
Riflery;2018/2019;FL;0;0;0;0;8;8,5
Track and Field -- Indoor;2018/2019;FL;0;0;0;0;8;8,5
Trap Shooting;2018/2019;FL;0;0;0;0;8;8,5
Synchronized Swimming;2018/2019;FL;0;0;0;0;8;8,5
Martial Arts;2018/2019;FL;0;0;0;0;8;8,5
Kayaking;2018/2019;FL;0;0;0;0;8;8,5
Football -- 6-player;2018/2019;FL;0;0;0;0;8;8,5
